Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2003-12-07,Mexico,1025,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1131,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,885,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-12-14,Mexico,1242,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1226,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,914,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-12-21,Mexico,1346,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1260,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,951,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2003-12-28,Mexico,1264,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1285,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,988,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-01-04,Mexico,1108,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1183,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,969,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-01-11,Mexico,1026,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1034,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,999,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-01-18,Mexico,977,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,960,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,1004,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-01-25,Mexico,976,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,1031,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,1037,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-02-01,Mexico,932,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,965,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,979,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-02-08,Mexico,939,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,868,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,935,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
2004-02-15,Mexico,913,Nation,19.4326296,-99.1331785,Aguascalientes,0.0,State,22.0000001,-102.5000001,Baja California,0.0,State,30.0338923,-115.1425107,Campeche,0.0,State,19.329205549999998,-89.9439148263377,Chihuahua,0.0,State,28.5000001,-106.0000001,Jalisco,744,City,20.3333331,-103.6666671,Estado de Mexico,0.0,City,19.4839446,-99.6899716,Morelos,0.0,City,18.75,-99.0,Nuevo Leon,0.0,City,26.2384363,-99.8873,Oaxaca,0.0,City,17.0,-96.5,Puebla,930,City,18.833333,-98.0,Quintana Roo,0.0,City,19.6666671,-88.5000001,Sonora,0.0,City,29.3333331,-110.6666671,Tamaulipas,0.0,City,23.9891553,-98.7026825,Veracruz,0.0,City,19.333333,-96.666667,Yucatan,0.0,City,20.6845957,-88.8755669
