Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2006-05-07,Australia,316,Nation,-24.7761086,134.755,Australian Capital Territory,523.0,State,-35.4883502,149.0026942,New South Wales,279,State,-31.8759835,147.2869493,Queensland,266,State,-22.1646782,144.5844903,South Australia,506,State,-30.5343665,135.6301212,Victoria,320,State,-36.5986096,144.6780052,Western Australia,309,State,-25.2303005,121.0187246
2006-05-14,Australia,382,Nation,-24.7761086,134.755,Australian Capital Territory,265.0,State,-35.4883502,149.0026942,New South Wales,323,State,-31.8759835,147.2869493,Queensland,331,State,-22.1646782,144.5844903,South Australia,581,State,-30.5343665,135.6301212,Victoria,441,State,-36.5986096,144.6780052,Western Australia,495,State,-25.2303005,121.0187246
2006-05-21,Australia,432,Nation,-24.7761086,134.755,Australian Capital Territory,410.0,State,-35.4883502,149.0026942,New South Wales,391,State,-31.8759835,147.2869493,Queensland,368,State,-22.1646782,144.5844903,South Australia,330,State,-30.5343665,135.6301212,Victoria,462,State,-36.5986096,144.6780052,Western Australia,632,State,-25.2303005,121.0187246
2006-05-28,Australia,425,Nation,-24.7761086,134.755,Australian Capital Territory,511.0,State,-35.4883502,149.0026942,New South Wales,366,State,-31.8759835,147.2869493,Queensland,414,State,-22.1646782,144.5844903,South Australia,476,State,-30.5343665,135.6301212,Victoria,494,State,-36.5986096,144.6780052,Western Australia,513,State,-25.2303005,121.0187246
2006-06-04,Australia,406,Nation,-24.7761086,134.755,Australian Capital Territory,625.0,State,-35.4883502,149.0026942,New South Wales,317,State,-31.8759835,147.2869493,Queensland,397,State,-22.1646782,144.5844903,South Australia,402,State,-30.5343665,135.6301212,Victoria,460,State,-36.5986096,144.6780052,Western Australia,474,State,-25.2303005,121.0187246
2006-06-11,Australia,410,Nation,-24.7761086,134.755,Australian Capital Territory,403.0,State,-35.4883502,149.0026942,New South Wales,403,State,-31.8759835,147.2869493,Queensland,400,State,-22.1646782,144.5844903,South Australia,274,State,-30.5343665,135.6301212,Victoria,492,State,-36.5986096,144.6780052,Western Australia,424,State,-25.2303005,121.0187246
2006-06-18,Australia,476,Nation,-24.7761086,134.755,Australian Capital Territory,656.0,State,-35.4883502,149.0026942,New South Wales,448,State,-31.8759835,147.2869493,Queensland,391,State,-22.1646782,144.5844903,South Australia,473,State,-30.5343665,135.6301212,Victoria,528,State,-36.5986096,144.6780052,Western Australia,577,State,-25.2303005,121.0187246
2006-06-25,Australia,523,Nation,-24.7761086,134.755,Australian Capital Territory,585.0,State,-35.4883502,149.0026942,New South Wales,540,State,-31.8759835,147.2869493,Queensland,497,State,-22.1646782,144.5844903,South Australia,446,State,-30.5343665,135.6301212,Victoria,557,State,-36.5986096,144.6780052,Western Australia,457,State,-25.2303005,121.0187246
2006-07-02,Australia,567,Nation,-24.7761086,134.755,Australian Capital Territory,578.0,State,-35.4883502,149.0026942,New South Wales,611,State,-31.8759835,147.2869493,Queensland,434,State,-22.1646782,144.5844903,South Australia,612,State,-30.5343665,135.6301212,Victoria,613,State,-36.5986096,144.6780052,Western Australia,535,State,-25.2303005,121.0187246
2006-07-09,Australia,512,Nation,-24.7761086,134.755,Australian Capital Territory,535.0,State,-35.4883502,149.0026942,New South Wales,505,State,-31.8759835,147.2869493,Queensland,418,State,-22.1646782,144.5844903,South Australia,609,State,-30.5343665,135.6301212,Victoria,497,State,-36.5986096,144.6780052,Western Australia,399,State,-25.2303005,121.0187246
2006-07-16,Australia,621,Nation,-24.7761086,134.755,Australian Capital Territory,1065.0,State,-35.4883502,149.0026942,New South Wales,657,State,-31.8759835,147.2869493,Queensland,441,State,-22.1646782,144.5844903,South Australia,492,State,-30.5343665,135.6301212,Victoria,762,State,-36.5986096,144.6780052,Western Australia,560,State,-25.2303005,121.0187246
2006-07-23,Australia,670,Nation,-24.7761086,134.755,Australian Capital Territory,708.0,State,-35.4883502,149.0026942,New South Wales,594,State,-31.8759835,147.2869493,Queensland,537,State,-22.1646782,144.5844903,South Australia,663,State,-30.5343665,135.6301212,Victoria,872,State,-36.5986096,144.6780052,Western Australia,669,State,-25.2303005,121.0187246
2006-07-30,Australia,742,Nation,-24.7761086,134.755,Australian Capital Territory,687.0,State,-35.4883502,149.0026942,New South Wales,638,State,-31.8759835,147.2869493,Queensland,607,State,-22.1646782,144.5844903,South Australia,694,State,-30.5343665,135.6301212,Victoria,904,State,-36.5986096,144.6780052,Western Australia,752,State,-25.2303005,121.0187246
2006-08-06,Australia,765,Nation,-24.7761086,134.755,Australian Capital Territory,1302.0,State,-35.4883502,149.0026942,New South Wales,692,State,-31.8759835,147.2869493,Queensland,814,State,-22.1646782,144.5844903,South Australia,654,State,-30.5343665,135.6301212,Victoria,823,State,-36.5986096,144.6780052,Western Australia,425,State,-25.2303005,121.0187246
2006-08-13,Australia,796,Nation,-24.7761086,134.755,Australian Capital Territory,863.0,State,-35.4883502,149.0026942,New South Wales,824,State,-31.8759835,147.2869493,Queensland,695,State,-22.1646782,144.5844903,South Australia,879,State,-30.5343665,135.6301212,Victoria,928,State,-36.5986096,144.6780052,Western Australia,472,State,-25.2303005,121.0187246
2006-08-20,Australia,704,Nation,-24.7761086,134.755,Australian Capital Territory,761.0,State,-35.4883502,149.0026942,New South Wales,756,State,-31.8759835,147.2869493,Queensland,845,State,-22.1646782,144.5844903,South Australia,909,State,-30.5343665,135.6301212,Victoria,685,State,-36.5986096,144.6780052,Western Australia,296,State,-25.2303005,121.0187246
2006-08-27,Australia,749,Nation,-24.7761086,134.755,Australian Capital Territory,677.0,State,-35.4883502,149.0026942,New South Wales,794,State,-31.8759835,147.2869493,Queensland,864,State,-22.1646782,144.5844903,South Australia,1100,State,-30.5343665,135.6301212,Victoria,714,State,-36.5986096,144.6780052,Western Australia,429,State,-25.2303005,121.0187246
2006-09-03,Australia,570,Nation,-24.7761086,134.755,Australian Capital Territory,652.0,State,-35.4883502,149.0026942,New South Wales,610,State,-31.8759835,147.2869493,Queensland,696,State,-22.1646782,144.5844903,South Australia,586,State,-30.5343665,135.6301212,Victoria,500,State,-36.5986096,144.6780052,Western Australia,424,State,-25.2303005,121.0187246
2006-09-10,Australia,507,Nation,-24.7761086,134.755,Australian Capital Territory,696.0,State,-35.4883502,149.0026942,New South Wales,550,State,-31.8759835,147.2869493,Queensland,511,State,-22.1646782,144.5844903,South Australia,535,State,-30.5343665,135.6301212,Victoria,448,State,-36.5986096,144.6780052,Western Australia,485,State,-25.2303005,121.0187246
2006-09-17,Australia,457,Nation,-24.7761086,134.755,Australian Capital Territory,509.0,State,-35.4883502,149.0026942,New South Wales,512,State,-31.8759835,147.2869493,Queensland,582,State,-22.1646782,144.5844903,South Australia,451,State,-30.5343665,135.6301212,Victoria,341,State,-36.5986096,144.6780052,Western Australia,345,State,-25.2303005,121.0187246
2006-09-24,Australia,356,Nation,-24.7761086,134.755,Australian Capital Territory,326.0,State,-35.4883502,149.0026942,New South Wales,378,State,-31.8759835,147.2869493,Queensland,368,State,-22.1646782,144.5844903,South Australia,451,State,-30.5343665,135.6301212,Victoria,323,State,-36.5986096,144.6780052,Western Australia,293,State,-25.2303005,121.0187246
2006-10-01,Australia,274,Nation,-24.7761086,134.755,Australian Capital Territory,217.0,State,-35.4883502,149.0026942,New South Wales,302,State,-31.8759835,147.2869493,Queensland,268,State,-22.1646782,144.5844903,South Australia,274,State,-30.5343665,135.6301212,Victoria,258,State,-36.5986096,144.6780052,Western Australia,261,State,-25.2303005,121.0187246
2006-10-08,Australia,281,Nation,-24.7761086,134.755,Australian Capital Territory,432.0,State,-35.4883502,149.0026942,New South Wales,274,State,-31.8759835,147.2869493,Queensland,375,State,-22.1646782,144.5844903,South Australia,274,State,-30.5343665,135.6301212,Victoria,225,State,-36.5986096,144.6780052,Western Australia,324,State,-25.2303005,121.0187246
2006-10-15,Australia,253,Nation,-24.7761086,134.755,Australian Capital Territory,153.0,State,-35.4883502,149.0026942,New South Wales,240,State,-31.8759835,147.2869493,Queensland,286,State,-22.1646782,144.5844903,South Australia,393,State,-30.5343665,135.6301212,Victoria,216,State,-36.5986096,144.6780052,Western Australia,251,State,-25.2303005,121.0187246
2006-10-22,Australia,219,Nation,-24.7761086,134.755,Australian Capital Territory,218.0,State,-35.4883502,149.0026942,New South Wales,205,State,-31.8759835,147.2869493,Queensland,228,State,-22.1646782,144.5844903,South Australia,377,State,-30.5343665,135.6301212,Victoria,213,State,-36.5986096,144.6780052,Western Australia,177,State,-25.2303005,121.0187246
2006-10-29,Australia,222,Nation,-24.7761086,134.755,Australian Capital Territory,311.0,State,-35.4883502,149.0026942,New South Wales,215,State,-31.8759835,147.2869493,Queensland,215,State,-22.1646782,144.5844903,South Australia,357,State,-30.5343665,135.6301212,Victoria,224,State,-36.5986096,144.6780052,Western Australia,139,State,-25.2303005,121.0187246
2006-11-05,Australia,184,Nation,-24.7761086,134.755,Australian Capital Territory,171.0,State,-35.4883502,149.0026942,New South Wales,167,State,-31.8759835,147.2869493,Queensland,215,State,-22.1646782,144.5844903,South Australia,178,State,-30.5343665,135.6301212,Victoria,182,State,-36.5986096,144.6780052,Western Australia,198,State,-25.2303005,121.0187246
2006-11-12,Australia,211,Nation,-24.7761086,134.755,Australian Capital Territory,177.0,State,-35.4883502,149.0026942,New South Wales,211,State,-31.8759835,147.2869493,Queensland,291,State,-22.1646782,144.5844903,South Australia,177,State,-30.5343665,135.6301212,Victoria,183,State,-36.5986096,144.6780052,Western Australia,214,State,-25.2303005,121.0187246
2006-11-19,Australia,178,Nation,-24.7761086,134.755,Australian Capital Territory,213.0,State,-35.4883502,149.0026942,New South Wales,184,State,-31.8759835,147.2869493,Queensland,236,State,-22.1646782,144.5844903,South Australia,146,State,-30.5343665,135.6301212,Victoria,168,State,-36.5986096,144.6780052,Western Australia,129,State,-25.2303005,121.0187246
2006-11-26,Australia,130,Nation,-24.7761086,134.755,Australian Capital Territory,113.0,State,-35.4883502,149.0026942,New South Wales,132,State,-31.8759835,147.2869493,Queensland,137,State,-22.1646782,144.5844903,South Australia,127,State,-30.5343665,135.6301212,Victoria,139,State,-36.5986096,144.6780052,Western Australia,94,State,-25.2303005,121.0187246
2006-12-03,Australia,128,Nation,-24.7761086,134.755,Australian Capital Territory,198.0,State,-35.4883502,149.0026942,New South Wales,146,State,-31.8759835,147.2869493,Queensland,136,State,-22.1646782,144.5844903,South Australia,80,State,-30.5343665,135.6301212,Victoria,105,State,-36.5986096,144.6780052,Western Australia,139,State,-25.2303005,121.0187246
2006-12-10,Australia,113,Nation,-24.7761086,134.755,Australian Capital Territory,262.0,State,-35.4883502,149.0026942,New South Wales,120,State,-31.8759835,147.2869493,Queensland,107,State,-22.1646782,144.5844903,South Australia,101,State,-30.5343665,135.6301212,Victoria,114,State,-36.5986096,144.6780052,Western Australia,94,State,-25.2303005,121.0187246
2006-12-17,Australia,121,Nation,-24.7761086,134.755,Australian Capital Territory,197.0,State,-35.4883502,149.0026942,New South Wales,162,State,-31.8759835,147.2869493,Queensland,122,State,-22.1646782,144.5844903,South Australia,60,State,-30.5343665,135.6301212,Victoria,104,State,-36.5986096,144.6780052,Western Australia,148,State,-25.2303005,121.0187246
2006-12-24,Australia,165,Nation,-24.7761086,134.755,Australian Capital Territory,194.0,State,-35.4883502,149.0026942,New South Wales,203,State,-31.8759835,147.2869493,Queensland,169,State,-22.1646782,144.5844903,South Australia,119,State,-30.5343665,135.6301212,Victoria,148,State,-36.5986096,144.6780052,Western Australia,124,State,-25.2303005,121.0187246
2006-12-31,Australia,136,Nation,-24.7761086,134.755,Australian Capital Territory,119.0,State,-35.4883502,149.0026942,New South Wales,142,State,-31.8759835,147.2869493,Queensland,87,State,-22.1646782,144.5844903,South Australia,71,State,-30.5343665,135.6301212,Victoria,119,State,-36.5986096,144.6780052,Western Australia,50,State,-25.2303005,121.0187246
2007-01-07,Australia,128,Nation,-24.7761086,134.755,Australian Capital Territory,135.0,State,-35.4883502,149.0026942,New South Wales,133,State,-31.8759835,147.2869493,Queensland,111,State,-22.1646782,144.5844903,South Australia,43,State,-30.5343665,135.6301212,Victoria,83,State,-36.5986096,144.6780052,Western Australia,84,State,-25.2303005,121.0187246
2007-01-14,Australia,109,Nation,-24.7761086,134.755,Australian Capital Territory,75.0,State,-35.4883502,149.0026942,New South Wales,153,State,-31.8759835,147.2869493,Queensland,73,State,-22.1646782,144.5844903,South Australia,40,State,-30.5343665,135.6301212,Victoria,54,State,-36.5986096,144.6780052,Western Australia,50,State,-25.2303005,121.0187246
2007-01-21,Australia,99,Nation,-24.7761086,134.755,Australian Capital Territory,42.0,State,-35.4883502,149.0026942,New South Wales,90,State,-31.8759835,147.2869493,Queensland,82,State,-22.1646782,144.5844903,South Australia,46,State,-30.5343665,135.6301212,Victoria,78,State,-36.5986096,144.6780052,Western Australia,72,State,-25.2303005,121.0187246
2007-01-28,Australia,105,Nation,-24.7761086,134.755,Australian Capital Territory,53.0,State,-35.4883502,149.0026942,New South Wales,133,State,-31.8759835,147.2869493,Queensland,73,State,-22.1646782,144.5844903,South Australia,45,State,-30.5343665,135.6301212,Victoria,61,State,-36.5986096,144.6780052,Western Australia,51,State,-25.2303005,121.0187246
2007-02-04,Australia,134,Nation,-24.7761086,134.755,Australian Capital Territory,102.0,State,-35.4883502,149.0026942,New South Wales,147,State,-31.8759835,147.2869493,Queensland,98,State,-22.1646782,144.5844903,South Australia,75,State,-30.5343665,135.6301212,Victoria,90,State,-36.5986096,144.6780052,Western Australia,87,State,-25.2303005,121.0187246
2007-02-11,Australia,138,Nation,-24.7761086,134.755,Australian Capital Territory,80.0,State,-35.4883502,149.0026942,New South Wales,136,State,-31.8759835,147.2869493,Queensland,126,State,-22.1646782,144.5844903,South Australia,59,State,-30.5343665,135.6301212,Victoria,92,State,-36.5986096,144.6780052,Western Australia,92,State,-25.2303005,121.0187246
2007-02-18,Australia,163,Nation,-24.7761086,134.755,Australian Capital Territory,74.0,State,-35.4883502,149.0026942,New South Wales,167,State,-31.8759835,147.2869493,Queensland,156,State,-22.1646782,144.5844903,South Australia,90,State,-30.5343665,135.6301212,Victoria,133,State,-36.5986096,144.6780052,Western Australia,82,State,-25.2303005,121.0187246
2007-02-25,Australia,193,Nation,-24.7761086,134.755,Australian Capital Territory,70.0,State,-35.4883502,149.0026942,New South Wales,223,State,-31.8759835,147.2869493,Queensland,175,State,-22.1646782,144.5844903,South Australia,74,State,-30.5343665,135.6301212,Victoria,134,State,-36.5986096,144.6780052,Western Australia,122,State,-25.2303005,121.0187246
2007-03-04,Australia,222,Nation,-24.7761086,134.755,Australian Capital Territory,69.0,State,-35.4883502,149.0026942,New South Wales,228,State,-31.8759835,147.2869493,Queensland,162,State,-22.1646782,144.5844903,South Australia,106,State,-30.5343665,135.6301212,Victoria,176,State,-36.5986096,144.6780052,Western Australia,140,State,-25.2303005,121.0187246
2007-03-11,Australia,242,Nation,-24.7761086,134.755,Australian Capital Territory,269.0,State,-35.4883502,149.0026942,New South Wales,276,State,-31.8759835,147.2869493,Queensland,229,State,-22.1646782,144.5844903,South Australia,109,State,-30.5343665,135.6301212,Victoria,140,State,-36.5986096,144.6780052,Western Australia,109,State,-25.2303005,121.0187246
2007-03-18,Australia,235,Nation,-24.7761086,134.755,Australian Capital Territory,185.0,State,-35.4883502,149.0026942,New South Wales,248,State,-31.8759835,147.2869493,Queensland,192,State,-22.1646782,144.5844903,South Australia,188,State,-30.5343665,135.6301212,Victoria,171,State,-36.5986096,144.6780052,Western Australia,108,State,-25.2303005,121.0187246
2007-03-25,Australia,281,Nation,-24.7761086,134.755,Australian Capital Territory,131.0,State,-35.4883502,149.0026942,New South Wales,262,State,-31.8759835,147.2869493,Queensland,307,State,-22.1646782,144.5844903,South Australia,262,State,-30.5343665,135.6301212,Victoria,210,State,-36.5986096,144.6780052,Western Australia,131,State,-25.2303005,121.0187246
2007-04-01,Australia,191,Nation,-24.7761086,134.755,Australian Capital Territory,348.0,State,-35.4883502,149.0026942,New South Wales,202,State,-31.8759835,147.2869493,Queensland,222,State,-22.1646782,144.5844903,South Australia,324,State,-30.5343665,135.6301212,Victoria,143,State,-36.5986096,144.6780052,Western Australia,133,State,-25.2303005,121.0187246
2007-04-08,Australia,232,Nation,-24.7761086,134.755,Australian Capital Territory,532.0,State,-35.4883502,149.0026942,New South Wales,275,State,-31.8759835,147.2869493,Queensland,175,State,-22.1646782,144.5844903,South Australia,283,State,-30.5343665,135.6301212,Victoria,213,State,-36.5986096,144.6780052,Western Australia,211,State,-25.2303005,121.0187246
2007-04-15,Australia,314,Nation,-24.7761086,134.755,Australian Capital Territory,1004.0,State,-35.4883502,149.0026942,New South Wales,329,State,-31.8759835,147.2869493,Queensland,362,State,-22.1646782,144.5844903,South Australia,244,State,-30.5343665,135.6301212,Victoria,267,State,-36.5986096,144.6780052,Western Australia,229,State,-25.2303005,121.0187246
2007-04-22,Australia,274,Nation,-24.7761086,134.755,Australian Capital Territory,277.0,State,-35.4883502,149.0026942,New South Wales,281,State,-31.8759835,147.2869493,Queensland,257,State,-22.1646782,144.5844903,South Australia,406,State,-30.5343665,135.6301212,Victoria,224,State,-36.5986096,144.6780052,Western Australia,295,State,-25.2303005,121.0187246
2007-04-29,Australia,340,Nation,-24.7761086,134.755,Australian Capital Territory,421.0,State,-35.4883502,149.0026942,New South Wales,347,State,-31.8759835,147.2869493,Queensland,374,State,-22.1646782,144.5844903,South Australia,398,State,-30.5343665,135.6301212,Victoria,281,State,-36.5986096,144.6780052,Western Australia,246,State,-25.2303005,121.0187246
2007-05-06,Australia,362,Nation,-24.7761086,134.755,Australian Capital Territory,334.0,State,-35.4883502,149.0026942,New South Wales,385,State,-31.8759835,147.2869493,Queensland,247,State,-22.1646782,144.5844903,South Australia,374,State,-30.5343665,135.6301212,Victoria,343,State,-36.5986096,144.6780052,Western Australia,424,State,-25.2303005,121.0187246
2007-05-13,Australia,382,Nation,-24.7761086,134.755,Australian Capital Territory,652.0,State,-35.4883502,149.0026942,New South Wales,317,State,-31.8759835,147.2869493,Queensland,342,State,-22.1646782,144.5844903,South Australia,717,State,-30.5343665,135.6301212,Victoria,359,State,-36.5986096,144.6780052,Western Australia,447,State,-25.2303005,121.0187246
