Date,Location,Results,Layer,Latitude,Longitude
2004-11-21,Argentina,150.0,State,-34.9964963,-64.9672817
2004-11-28,Argentina,131.0,State,-34.9964963,-64.9672817
2004-12-05,Argentina,111.0,State,-34.9964963,-64.9672817
2004-12-12,Argentina,100.0,State,-34.9964963,-64.9672817
2004-12-19,Argentina,89.0,State,-34.9964963,-64.9672817
2004-12-26,Argentina,77.0,State,-34.9964963,-64.9672817
2005-01-02,Argentina,78.0,State,-34.9964963,-64.9672817
2005-01-09,Argentina,82.0,State,-34.9964963,-64.9672817
2005-01-16,Argentina,88.0,State,-34.9964963,-64.9672817
2005-01-23,Argentina,89.0,State,-34.9964963,-64.9672817
2005-01-30,Argentina,94.0,State,-34.9964963,-64.9672817
2005-02-06,Argentina,111.0,State,-34.9964963,-64.9672817
2005-02-13,Argentina,98.0,State,-34.9964963,-64.9672817
2005-02-20,Argentina,94.0,State,-34.9964963,-64.9672817
2005-02-27,Argentina,101.0,State,-34.9964963,-64.9672817
2005-03-06,Argentina,97.0,State,-34.9964963,-64.9672817
2005-03-13,Argentina,106.0,State,-34.9964963,-64.9672817
2005-03-20,Argentina,137.0,State,-34.9964963,-64.9672817
2005-03-27,Argentina,145.0,State,-34.9964963,-64.9672817
2005-04-03,Argentina,154.0,State,-34.9964963,-64.9672817
2005-04-10,Argentina,162.0,State,-34.9964963,-64.9672817
2005-04-17,Argentina,192.0,State,-34.9964963,-64.9672817
2005-04-24,Argentina,189.0,State,-34.9964963,-64.9672817
2005-05-01,Argentina,183.0,State,-34.9964963,-64.9672817
2005-05-08,Argentina,199.0,State,-34.9964963,-64.9672817
2005-05-15,Argentina,193.0,State,-34.9964963,-64.9672817
2005-05-22,Argentina,205.0,State,-34.9964963,-64.9672817
2005-05-29,Argentina,198.0,State,-34.9964963,-64.9672817
2005-06-05,Argentina,196.0,State,-34.9964963,-64.9672817
2005-06-12,Argentina,197.0,State,-34.9964963,-64.9672817
2005-06-19,Argentina,246.0,State,-34.9964963,-64.9672817
2005-06-26,Argentina,264.0,State,-34.9964963,-64.9672817
2005-07-03,Argentina,273.0,State,-34.9964963,-64.9672817
2005-07-10,Argentina,234.0,State,-34.9964963,-64.9672817
2005-07-17,Argentina,237.0,State,-34.9964963,-64.9672817
2005-07-24,Argentina,227.0,State,-34.9964963,-64.9672817
2005-07-31,Argentina,210.0,State,-34.9964963,-64.9672817
2005-08-07,Argentina,202.0,State,-34.9964963,-64.9672817
2005-08-14,Argentina,208.0,State,-34.9964963,-64.9672817
2005-08-21,Argentina,234.0,State,-34.9964963,-64.9672817
2005-08-28,Argentina,218.0,State,-34.9964963,-64.9672817
2005-09-04,Argentina,188.0,State,-34.9964963,-64.9672817
2005-09-11,Argentina,195.0,State,-34.9964963,-64.9672817
2005-09-18,Argentina,194.0,State,-34.9964963,-64.9672817
2005-09-25,Argentina,230.0,State,-34.9964963,-64.9672817
2005-10-02,Argentina,191.0,State,-34.9964963,-64.9672817
2005-10-09,Argentina,174.0,State,-34.9964963,-64.9672817
2005-10-16,Argentina,200.0,State,-34.9964963,-64.9672817
2005-10-23,Argentina,165.0,State,-34.9964963,-64.9672817
2005-10-30,Argentina,169.0,State,-34.9964963,-64.9672817
2005-11-06,Argentina,162.0,State,-34.9964963,-64.9672817
2005-11-13,Argentina,151.0,State,-34.9964963,-64.9672817
2005-11-20,Argentina,147.0,State,-34.9964963,-64.9672817
2005-11-27,Argentina,133.0,State,-34.9964963,-64.9672817
2005-12-04,Argentina,112.0,State,-34.9964963,-64.9672817
2005-12-11,Argentina,99.0,State,-34.9964963,-64.9672817
2005-12-18,Argentina,94.0,State,-34.9964963,-64.9672817
2005-12-25,Argentina,82.0,State,-34.9964963,-64.9672817
2006-01-01,Argentina,87.0,State,-34.9964963,-64.9672817
2006-01-08,Argentina,85.0,State,-34.9964963,-64.9672817
2006-01-15,Argentina,91.0,State,-34.9964963,-64.9672817
2006-01-22,Argentina,83.0,State,-34.9964963,-64.9672817
2006-01-29,Argentina,105.0,State,-34.9964963,-64.9672817
2006-02-05,Argentina,97.0,State,-34.9964963,-64.9672817
2006-02-12,Argentina,90.0,State,-34.9964963,-64.9672817
2006-02-19,Argentina,91.0,State,-34.9964963,-64.9672817
2006-02-26,Argentina,95.0,State,-34.9964963,-64.9672817
2006-03-05,Argentina,109.0,State,-34.9964963,-64.9672817
2006-03-12,Argentina,120.0,State,-34.9964963,-64.9672817
2006-03-19,Argentina,121.0,State,-34.9964963,-64.9672817
2006-03-26,Argentina,143.0,State,-34.9964963,-64.9672817
2006-04-02,Argentina,169.0,State,-34.9964963,-64.9672817
2006-04-09,Argentina,130.0,State,-34.9964963,-64.9672817
2006-04-16,Argentina,152.0,State,-34.9964963,-64.9672817
2006-04-23,Argentina,166.0,State,-34.9964963,-64.9672817
2006-04-30,Argentina,185.0,State,-34.9964963,-64.9672817
2006-05-07,Argentina,172.0,State,-34.9964963,-64.9672817
2006-05-14,Argentina,183.0,State,-34.9964963,-64.9672817
2006-05-21,Argentina,205.0,State,-34.9964963,-64.9672817
2006-05-28,Argentina,207.0,State,-34.9964963,-64.9672817
2006-06-04,Argentina,211.0,State,-34.9964963,-64.9672817
2006-06-11,Argentina,219.0,State,-34.9964963,-64.9672817
2006-06-18,Argentina,223.0,State,-34.9964963,-64.9672817
2006-06-25,Argentina,243.0,State,-34.9964963,-64.9672817
2006-07-02,Argentina,232.0,State,-34.9964963,-64.9672817
2006-07-09,Argentina,261.0,State,-34.9964963,-64.9672817
2006-07-16,Argentina,272.0,State,-34.9964963,-64.9672817
2006-07-23,Argentina,252.0,State,-34.9964963,-64.9672817
2006-07-30,Argentina,215.0,State,-34.9964963,-64.9672817
2006-08-06,Argentina,238.0,State,-34.9964963,-64.9672817
2006-08-13,Argentina,228.0,State,-34.9964963,-64.9672817
2006-08-20,Argentina,250.0,State,-34.9964963,-64.9672817
2006-08-27,Argentina,271.0,State,-34.9964963,-64.9672817
2006-09-03,Argentina,234.0,State,-34.9964963,-64.9672817
2006-09-10,Argentina,234.0,State,-34.9964963,-64.9672817
2006-09-17,Argentina,232.0,State,-34.9964963,-64.9672817
2006-09-24,Argentina,227.0,State,-34.9964963,-64.9672817
2006-10-01,Argentina,200.0,State,-34.9964963,-64.9672817
2006-10-08,Argentina,191.0,State,-34.9964963,-64.9672817
2006-10-15,Argentina,182.0,State,-34.9964963,-64.9672817
2006-10-22,Argentina,167.0,State,-34.9964963,-64.9672817
2006-10-29,Argentina,174.0,State,-34.9964963,-64.9672817
2006-11-05,Argentina,160.0,State,-34.9964963,-64.9672817
2006-11-12,Argentina,180.0,State,-34.9964963,-64.9672817
2006-11-19,Argentina,165.0,State,-34.9964963,-64.9672817
