Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2006-08-27,New Zealand,54,Nation,-41.5000831,172.8344077,North Island,52,State,-38.00353045,175.95785260835657,South Island,73.0,State,54.52476,-5.580055623278962
2006-09-03,New Zealand,52,Nation,-41.5000831,172.8344077,North Island,53,State,-38.00353045,175.95785260835657,South Island,52.0,State,54.52476,-5.580055623278962
2006-09-10,New Zealand,44,Nation,-41.5000831,172.8344077,North Island,45,State,-38.00353045,175.95785260835657,South Island,43.0,State,54.52476,-5.580055623278962
2006-09-17,New Zealand,35,Nation,-41.5000831,172.8344077,North Island,33,State,-38.00353045,175.95785260835657,South Island,49.0,State,54.52476,-5.580055623278962
2006-09-24,New Zealand,37,Nation,-41.5000831,172.8344077,North Island,34,State,-38.00353045,175.95785260835657,South Island,61.0,State,54.52476,-5.580055623278962
2006-10-01,New Zealand,21,Nation,-41.5000831,172.8344077,North Island,20,State,-38.00353045,175.95785260835657,South Island,37.0,State,54.52476,-5.580055623278962
2006-10-08,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2006-10-15,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,8.0,State,54.52476,-5.580055623278962
2006-10-22,New Zealand,14,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,10.0,State,54.52476,-5.580055623278962
2006-10-29,New Zealand,21,Nation,-41.5000831,172.8344077,North Island,21,State,-38.00353045,175.95785260835657,South Island,15.0,State,54.52476,-5.580055623278962
2006-11-05,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,16.0,State,54.52476,-5.580055623278962
2006-11-12,New Zealand,11,Nation,-41.5000831,172.8344077,North Island,11,State,-38.00353045,175.95785260835657,South Island,12.0,State,54.52476,-5.580055623278962
2006-11-19,New Zealand,15,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,10.0,State,54.52476,-5.580055623278962
2006-11-26,New Zealand,11,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2006-12-03,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,9,State,-38.00353045,175.95785260835657,South Island,8.0,State,54.52476,-5.580055623278962
2006-12-10,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,7,State,-38.00353045,175.95785260835657,South Island,8.0,State,54.52476,-5.580055623278962
2006-12-17,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,7,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
2006-12-24,New Zealand,15,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2006-12-31,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2007-01-07,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2007-01-14,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,5,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2007-01-21,New Zealand,4,Nation,-41.5000831,172.8344077,North Island,3,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
2007-01-28,New Zealand,3,Nation,-41.5000831,172.8344077,North Island,3,State,-38.00353045,175.95785260835657,South Island,4.0,State,54.52476,-5.580055623278962
2007-02-04,New Zealand,4,Nation,-41.5000831,172.8344077,North Island,3,State,-38.00353045,175.95785260835657,South Island,4.0,State,54.52476,-5.580055623278962
2007-02-11,New Zealand,4,Nation,-41.5000831,172.8344077,North Island,3,State,-38.00353045,175.95785260835657,South Island,5.0,State,54.52476,-5.580055623278962
2007-02-18,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
2007-02-25,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,4.0,State,54.52476,-5.580055623278962
2007-03-04,New Zealand,8,Nation,-41.5000831,172.8344077,North Island,8,State,-38.00353045,175.95785260835657,South Island,4.0,State,54.52476,-5.580055623278962
2007-03-11,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,5,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
