Date,South Africa,Gauteng,Kwazulu-Natal,Western Cape
2009-05-10,3326,3381,3524,3519
2009-05-17,3473,3655,3464,3443
2009-05-24,3644,3675,3484,3565
2009-05-31,4172,4439,3981,3695
2009-06-07,4406,4429,4944,4246
2009-06-14,3929,4299,4849,3807
2009-06-21,4000,4040,4481,3471
2009-06-28,3559,3429,3942,3382
2009-07-05,3446,3329,3625,3231
2009-07-12,3231,3392,3205,3007
2009-07-19,3256,3063,3932,2829
2009-07-26,4079,4005,3944,4035
2009-08-02,5780,5234,5864,7436
2009-08-09,6514,5485,6418,8489
2009-08-16,5529,5125,5331,6289
2009-08-23,4987,4778,4670,5606
2009-08-30,3958,3919,4419,3669
2009-09-06,3249,3008,4044,2930
2009-09-13,2805,2797,3376,2711
2009-09-20,2538,2336,2577,2837
2009-09-27,2624,2336,2816,2783
2009-10-04,2284,2200,2866,2471
2009-10-11,2168,2004,2457,2288
2009-10-18,2306,2136,2418,2453
2009-10-25,2575,2185,2660,2943
2009-11-01,2228,2111,2624,2585
2009-11-08,2134,1946,2630,2059
2009-11-15,2027,2001,2520,1913
2009-11-22,1960,2052,2188,1740
2009-11-29,1723,1671,2084,1798
2009-12-06,1895,1932,2082,1785
2009-12-13,1917,1858,1974,1879
2009-12-20,1722,1735,1962,1901
2009-12-27,1923,1813,1901,1900
2010-01-03,1643,1537,1874,1878
2010-01-10,1628,1457,1849,1830
2010-01-17,1632,1667,1813,1610
2010-01-24,1670,1670,1770,1449
2010-01-31,1730,1743,1954,1463
2010-02-07,1915,2090,2000,1564
2010-02-14,2019,1951,2217,1823
2010-02-21,1967,1961,2332,1817
2010-02-28,1991,2097,2068,1732
2010-03-07,2153,2320,2014,1807
2010-03-14,2138,2279,2003,1850
2010-03-21,2044,2142,1876,1872
2010-03-28,2288,2246,1926,2310
2010-04-04,2224,2156,2087,2395
2010-04-11,2350,2293,2564,2135
2010-04-18,2417,2505,2490,2175
2010-04-25,2747,2600,2595,2516
2010-05-02,2799,3086,2717,2396
2010-05-09,3065,3165,3106,2512
2010-05-16,3178,3267,3504,2727
2010-05-23,3121,3267,3209,2869
2010-05-30,2687,2780,2767,2700
2010-06-06,3117,3237,2985,3026
2010-06-13,3071,3051,2978,3061
2010-06-20,3322,3416,3100,3130
2010-06-27,3300,3517,3177,2830
2010-07-04,3096,3270,2974,2678
2010-07-11,3281,3402,3079,2798
2010-07-18,3177,3188,3254,3044
2010-07-25,3403,3410,3273,3182
2010-08-01,3969,3951,3839,3612
2010-08-08,3732,3873,3618,3823
2010-08-15,3772,3783,3767,3660
2010-08-22,3446,3345,3400,3687
2010-08-29,3106,3217,2894,3174
